PlayDate,AP,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
2023-02-24,A,1,2,5,6,8,17,18,22,23,31,35,36,37,38,46,47,50,51,53,58
2023-02-23,A,1,9,12,18,22,28,29,32,33,35,37,40,45,47,49,50,51,55,57,66
2023-02-22,A,3,7,9,14,16,20,21,24,28,29,33,37,38,54,55,56,60,68,69,70
2023-02-21,A,1,2,7,10,11,26,37,38,42,43,45,46,50,52,57,58,59,63,64,68
2023-02-20,A,2,6,8,10,16,18,20,24,25,36,38,39,40,44,48,50,52,57,64,70
2023-02-19,A,4,7,8,9,12,16,17,20,26,28,32,36,39,47,53,56,58,60,62,70
2023-02-18,A,5,8,17,18,26,27,32,35,37,39,41,45,54,56,57,58,60,64,67,68
2023-02-17,A,3,4,10,13,25,26,27,28,31,37,40,43,45,53,56,58,59,61,65,68
2023-02-16,A,12,14,18,19,24,29,32,33,35,36,37,40,44,49,52,53,55,58,67,69
2023-02-15,A,6,8,15,24,32,37,39,41,45,46,49,50,51,52,53,58,59,60,68,70
2023-02-14,A,7,8,9,16,23,30,31,34,44,46,47,49,52,53,54,56,60,63,68,70
2023-02-13,A,4,8,9,12,14,16,19,24,25,31,41,42,46,47,52,59,61,65,66,67
2023-02-12,A,2,5,9,10,21,29,34,39,43,46,50,51,52,58,59,61,62,63,64,66
2023-02-11,A,1,3,5,7,9,14,21,23,24,25,30,31,36,37,38,50,54,60,64,68
2023-02-10,A,6,11,14,16,19,30,32,35,38,44,47,49,50,51,52,53,56,60,66,70
2023-02-09,A,5,7,10,11,20,22,23,25,27,29,30,32,35,37,48,49,51,55,57,64
2023-02-08,A,4,6,10,14,17,18,24,27,34,37,39,40,44,49,56,57,59,60,65,66
2023-02-07,A,2,7,8,12,13,14,15,22,33,34,42,47,48,54,56,57,59,62,66,68
2023-02-06,A,1,5,10,12,15,19,25,30,31,36,38,40,42,44,51,54,56,58,60,64
2023-02-05,A,1,3,10,11,15,16,28,29,30,33,41,45,51,53,55,57,60,65,67,69
2023-02-04,A,1,6,8,10,11,12,20,23,24,34,35,36,41,45,48,51,55,61,63,65
2023-02-03,A,8,10,16,19,23,25,32,35,36,38,42,44,45,49,50,51,57,58,69,70
2023-02-02,A,2,3,10,14,20,27,28,30,32,34,36,37,39,41,42,43,46,56,68,69
2023-02-01,A,2,5,7,8,19,21,26,27,28,30,31,35,36,47,52,53,58,64,65,68
2023-01-31,A,3,4,8,13,15,22,23,25,32,34,35,36,43,45,50,57,58,59,65,70
2023-01-30,A,1,2,3,4,11,12,15,17,18,23,25,28,31,34,44,45,50,51,55,67
2023-01-29,A,5,7,14,15,23,26,29,31,32,34,36,37,41,50,53,57,58,60,61,64
2023-01-28,A,4,5,9,14,17,20,22,29,34,37,39,40,42,44,46,47,51,58,64,68
2023-01-27,A,4,9,10,14,17,20,21,23,34,35,38,43,46,51,53,55,56,64,66,70
2023-01-26,A,3,4,7,12,19,20,22,24,27,32,33,34,35,37,41,43,47,57,62,64
2023-01-25,A,2,17,18,21,24,25,28,29,32,33,37,42,43,45,47,55,59,61,62,66
2023-01-24,A,8,11,12,18,20,21,26,32,33,34,35,36,44,47,48,53,54,59,62,70
2023-01-23,A,2,9,11,13,14,20,21,22,25,31,36,39,41,51,55,57,61,63,66,70
2023-01-22,A,1,3,4,6,7,9,18,21,25,26,31,37,42,43,44,46,61,62,64,67
2023-01-21,A,3,13,14,15,18,21,22,23,25,29,31,35,36,37,42,44,46,49,60,65
2023-01-20,A,1,3,5,6,14,24,25,29,32,36,40,42,43,46,52,53,56,58,62,69
2023-01-19,A,5,7,9,10,19,20,22,27,29,35,37,49,50,51,55,56,59,62,67,70
2023-01-18,A,1,13,15,18,19,23,26,27,29,34,35,36,51,52,53,55,60,61,67,68
2023-01-17,A,1,2,3,5,6,12,13,22,23,30,31,34,36,37,45,46,50,54,58,68
2023-01-16,A,1,3,5,9,11,17,21,22,23,28,34,35,39,44,50,51,52,59,68,70
2023-01-15,A,1,2,6,11,14,15,21,22,23,28,41,43,44,46,49,54,60,61,62,67
2023-01-14,A,3,4,12,17,18,21,28,31,32,34,35,36,39,43,48,50,56,60,64,67
2023-01-13,A,1,5,9,10,12,14,16,20,28,37,39,47,48,49,53,57,59,67,68,70
2023-01-12,A,1,2,6,12,14,15,22,28,32,35,36,39,41,42,43,44,45,53,56,58
2023-01-11,A,3,4,9,12,18,20,24,25,27,29,35,37,45,49,52,53,58,59,66,70
2023-01-10,A,3,4,8,9,10,12,20,25,26,31,34,38,44,47,49,52,55,62,63,70
2023-01-09,A,2,11,12,15,18,21,24,28,29,32,36,37,41,45,47,49,50,51,56,65
2023-01-08,A,1,10,12,16,18,23,26,28,29,48,51,52,53,54,55,56,57,61,63,70
2023-01-07,A,2,9,10,13,14,20,27,32,35,36,41,42,43,52,53,54,59,60,61,64
2023-01-06,A,9,19,22,23,26,35,39,41,43,44,45,46,48,51,53,58,59,61,62,66
2023-01-05,A,9,10,13,15,16,19,22,28,29,32,38,40,45,49,51,54,56,57,59,68
2023-01-04,A,1,4,5,8,17,22,23,26,28,32,39,41,44,45,51,56,63,64,68,69
2023-01-03,A,5,6,7,10,21,22,24,25,26,32,34,39,43,45,46,48,49,57,59,65
2023-01-02,A,2,9,11,14,21,24,29,38,40,42,47,48,50,57,58,59,60,61,66,70
2023-01-01,A,3,7,9,14,19,21,22,30,32,34,38,39,43,53,54,56,61,64,65,69
